texto_limpo,sentimento,Query
"Ok, estou ansioso.",Positivo,Palmeiras
que privilégio ter visto o endrick jogar no palmeiras,Positivo,Palmeiras
Meu trio,Positivo,Palmeiras
A torcida do Palmeiras está presente em qualquer lugar do planeta. Quando surge o alviverde imponente.,Neutro,Palmeiras
Torcedores do porto no Instagram o Palmeiras não tem mundial O perfil do Porto,Neutro,Palmeiras
A única certeza da vida! A abertura da Copa do Mundo de Clubes FIFA não irá superar essa aqui,Positivo,Palmeiras
Finalmente amanhã é dia de estreia do Verdão na FIFACWC! Assista a todos os jogos grátis no app DAZN,Neutro,Palmeiras
É impressionante como o Richard Ríos parece ser brasileiro. TV Palmeiras,Neutro,Palmeiras
errou! sao todos Palmeiras!!!,Neutro,Palmeiras
O manto está pronto pra entrar em campo. E a torcida pronta pra incentivar o MaiorCampeãoDoBrasil! Vamos torcer juntos!,Positivo,Palmeiras
Apoio da torcida do Palmeiras nunca faltou. Eu prefiro ver a realidade FORA da internet.,Neutro,Palmeiras
Embarque encerrado. Próxima parada Nova Jersey,Neutro,Palmeiras
quero ver como vão fazer para pararem o messi messi se aproxima da área do palmeiras gustavo goméz,Neutro,Palmeiras
Será difícil pra caralho. Mas honrem a camisa do Palmeiras. Apoio NUNCA faltou e nunca faltará.,Positivo,Palmeiras
"Palmeiras em cenas 2 dia. Muito comum esbarrar com palmeirenses nas esquinas da big city. Indo, chegando e, sobretudo, bebendo.",Neutro,Palmeiras
Não à toa era São Marcos! 25 anos de uma das defesas mais emblemáticas de nossa história...,Positivo,Palmeiras
Hoje foi DiaDeTreino tático nos EUA e ajustes finais pra estreia do MaiorCampeãoDoBrasil!,Neutro,Palmeiras
,Neutro,Palmeiras
E o Pai do Piquerez no Instagram KKKKKKKKKKKKKKKKKKKK,Neutro,Palmeiras
"Que linda essa união dos times paulistas, todos torcendo pelo Palmeiras na Copa do Mundo de Clubes. AvantiPalmeiras",Positivo,Palmeiras
Embarcando para Nova York em missão pelo Palmeiras.,Neutro,Palmeiras
Here for and press conferences FIFACWC,Neutro,Palmeiras
"nunca vão me convencer que a estética do Palmeiras é feia, pra mim tudo que envolve esse time é arte.",Negativo,Palmeiras
Por isso a Globo não gosta do Palmeiras,Negativo,Palmeiras
O trabalho do JP Sampaio na base do Palmeiras é incrível Visita do Sub-10 na comunidade,Positivo,Palmeiras
Porto postando que o Palmeiras tem 01 título Mundial. Tá aí qdo se tem uma imprensa imparcial e justa! Diferente do que vemos em massa pelo BR.,Positivo,Palmeiras
pov vendo os torcedores do palmeiras indo pra NYC acompanhar mundial enquanto vc é pobre e tá em casa,Negativo,Palmeiras
Torcida do Cruzeiro gritando o nome dos jogadores antes do jogo contra o Palmeiras. Nunca me canso de ver esses vídeos. Registro da,Positivo,Palmeiras
"Palmeiras em cenas Chuva, frio e Palmeiras nas ruas de Nova Iorque.",Neutro,Palmeiras
"O camarada alem de torcer pra FLAMENGO E PALMEIRAS, tem os escudos dos dois clubes tatuados no braço Esse aí até o diabo tem medo, certeza que cagava de porta aberta na escola",Negativo,Palmeiras
A torcida canta e vibra em todos os países . PodPorco Palmeiras,Positivo,Palmeiras
𝑵𝒆𝒗𝒆𝒓 𝒈𝒊𝒗𝒆 𝒖𝒑!,Neutro,Palmeiras
Torcida do flamengo é disparada a maior mesmo. Não pode um palmeiras da vida ganhar um dinheiro próximo do que ganha o flamengo em publicidade tv,Neutro,Palmeiras
,Neutro,Palmeiras
os jogadores no meio da torcida isso é sociedade esportiva palmeiras,Positivo,Palmeiras
"Até a Puma, sabe o q a torcida do Palmeiras é. Retrataram um cada clube, com algo q retrate a equipe. Monterrey, colocaram uma moça tipo a Frida Kahlo, a burka para os árabes e o celular, para a torcida de selfie do Allianz Theater. Parabéns Puma, por mostrar nosso espírito.",Positivo,Palmeiras
"Vem aí, Marcos Rocha, do Palmeiras!!!",Neutro,Palmeiras
Conheça o torcedor por trás das criações das camisas do ! Ítalo conta pra gente um pouco sobre como é realizar o sonho de desenvolver os mantos de seu clube do coração!,Neutro,Palmeiras
"Legal do clube ter colocado os atletas do portão pra fora, essa troca com a torcida tem que acontecer. O Palmeiras vai pros Estados Unidos nessa energia aí!",Positivo,Palmeiras
O vídeo de abertura da Copa do Mundo de Clubes. ANSIOSO,Positivo,Palmeiras
Quem não tá ansioso é maluco pô Via,Neutro,Palmeiras
As duas prováveis escalações de Palmeiras e do Porto!! Estreia na Copa do Mundo de Clubes,Neutro,Palmeiras
E a nova camisa 3 do Palmeiras pra depois do mundial?,Neutro,Palmeiras
Que partida do Gomez,Positivo,Palmeiras
"Se você é Palmeirense, você tem que compartilhar essa obra prima",Positivo,Palmeiras
Quero entrar em modo mundial logo só falar de futebol e Palmeiras chegaaaaaaaaa logo,Neutro,Palmeiras
,Neutro,Palmeiras
