Nro_Tweet,Query,Usuario,Texto,Data de Criacao,Retweets,Likes
1,Palmeiras,Palmeiras da Depressão,"Ok, estou ansioso. https://t.co/1BMANpac2n",Fri Jun 13 12:09:16 +0000 2025,199,4141
2,Palmeiras,vicki,que privilégio ter visto o endrick jogar no palmeiras https://t.co/DVFwTefTGQ,Sat Jun 14 12:42:46 +0000 2025,237,2477
3,Palmeiras,SE Palmeiras,Meu trio 🇦🇷🇨🇴🇦🇷 https://t.co/Ko3JzAC7Xe,Fri Jun 13 16:31:00 +0000 2025,236,5678
4,Palmeiras,Alan Gouveia,A torcida do Palmeiras está presente em qualquer lugar do planeta. Quando surge o alviverde imponente. https://t.co/N0bdWUFfEH,Sat Jun 14 01:07:27 +0000 2025,109,2335
5,Palmeiras,Palmeiras memes🐷💚,"Torcedores do porto no Instagram: ""o Palmeiras não tem mundial"" 

O perfil do Porto: https://t.co/VJcljN584b",Sat Jun 14 19:20:11 +0000 2025,25,483
6,Palmeiras,PALMEIRAS HQ,"A única certeza da vida! 

A abertura da Copa do Mundo de Clubes FIFA não irá superar essa aqui https://t.co/3jwaS67FsX",Sat Jun 14 11:08:43 +0000 2025,8,186
7,Palmeiras,SE Palmeiras,"Finalmente: amanhã é dia de estreia do Verdão na #FIFACWC! 

👉🏿 Assista a todos os jogos grátis no app DAZN https://t.co/aqbY580toe",Sat Jun 14 12:13:48 +0000 2025,280,4880
8,Palmeiras,Gustavo Terini,"É impressionante como o Richard Ríos parece ser brasileiro.

🎥 TV Palmeiras https://t.co/H3WfmuzdxA",Sat Jun 14 18:43:44 +0000 2025,18,741
9,Palmeiras,vi,errou! sao todos Palmeiras!!! https://t.co/pTa3IZvcSG,Thu Jun 12 17:44:21 +0000 2025,332,2721
10,Palmeiras,SE Palmeiras,O manto está pronto pra entrar em campo. E a torcida pronta pra incentivar o #MaiorCampeãoDoBrasil! Vamos torcer juntos! 💪🏿 https://t.co/Wsg2FT49Di,Sat Jun 14 18:06:43 +0000 2025,65,1458
11,Palmeiras,João Freire,"Apoio da torcida do Palmeiras nunca faltou.

Eu prefiro ver a realidade FORA da internet. https://t.co/3nRHJsnZJW",Sun Jun 08 14:15:23 +0000 2025,363,6116
12,Palmeiras,SE Palmeiras,Embarque encerrado. Próxima parada: Nova Jersey 💚 https://t.co/AnPESSZeuF,Sat Jun 14 19:36:34 +0000 2025,35,1098
13,Palmeiras,"Abacate, Gustavo","“quero ver como vão fazer para pararem o messi”

messi se aproxima da área do palmeiras

gustavo goméz: https://t.co/DfVRuEJgXD",Thu Jun 12 16:40:58 +0000 2025,432,2647
14,Palmeiras,João Freire,"Será difícil pra caralho.

Mas honrem a camisa do Palmeiras.

Apoio NUNCA faltou e nunca faltará.

 https://t.co/9tSWuOclFk",Sun Jun 08 13:07:32 +0000 2025,652,5012
15,Palmeiras,Umberto Conti,"Palmeiras em cenas…

2° dia.

Muito comum esbarrar com palmeirenses nas esquinas da big city.

Indo, chegando e, sobretudo, bebendo.
🐷🏆💚🇧🇷 https://t.co/gy9shgdINt",Sat Jun 14 17:15:36 +0000 2025,8,325
16,Palmeiras,SE Palmeiras,"Não à toa era São Marcos! 😇

25 anos de uma das defesas mais emblemáticas de nossa história... 💚 https://t.co/3NUCAaE3qz",Fri Jun 06 16:30:01 +0000 2025,956,7226
17,Palmeiras,SE Palmeiras,Hoje foi #DiaDeTreino tático nos EUA e ajustes finais pra estreia do #MaiorCampeãoDoBrasil! 🐷💚 https://t.co/DdEQjbHPSy,Sat Jun 14 18:25:29 +0000 2025,21,706
18,Palmeiras,Twit Palmeiras,✅ https://t.co/SRATHASwdA,Sat Jun 14 20:15:15 +0000 2025,6,82
19,Palmeiras,Planeta do Palmeiras 🌎,E o Pai do Piquerez no Instagram KKKKKKKKKKKKKKKKKKKK https://t.co/IQCTEjGPDB,Fri Jun 13 17:11:38 +0000 2025,78,2153
20,Palmeiras,Pepe Reale 📀,"Que linda essa união dos times paulistas, todos torcendo pelo Palmeiras na Copa do Mundo de Clubes. #AvantiPalmeiras 💚🇳🇬 https://t.co/Vsw45efShH",Sat Jun 14 13:05:50 +0000 2025,26,324
21,Palmeiras,Leila Pereira,Embarcando para Nova York em missão pelo Palmeiras. 💚🐷🇮🇹✈️🇺🇸 https://t.co/Ke1Te6pYyf,Sat Jun 14 18:42:00 +0000 2025,20,810
22,Palmeiras,Eric Njiru ⚽️,"🎙️⚽Here for @FCPorto 🇵🇹 and @Palmeiras 🇧🇷 press conferences 

#FIFACWC https://t.co/oVOjewyI0d",Sat Jun 14 21:11:58 +0000 2025,4,15
23,Palmeiras,bella ⓟ,"nunca vão me convencer que a estética do Palmeiras é feia, pra mim tudo que envolve esse time é arte. 💚 https://t.co/RX4ruxi6h3",Sun Jun 08 14:26:37 +0000 2025,665,3310
24,Palmeiras,João Martins-O único Dodeca💪,Por isso a Globo não gosta do Palmeiras https://t.co/hQrwEdtPdi,Fri Jun 13 17:42:44 +0000 2025,60,958
25,Palmeiras,Léo Barbieri - INFOS Palestra,"O trabalho do JP Sampaio na base do Palmeiras é incrível 

Visita do Sub-10 na comunidade https://t.co/IgLyZY7xrf",Sat Jun 14 19:26:00 +0000 2025,63,1096
26,Palmeiras,Marcio ⓟ 1️⃣2️⃣🏆🇧🇷,"#Porto postando que o #Palmeiras tem 01 título #Mundial. Tá aí qdo se tem uma imprensa imparcial e justa! 
Diferente do que vemos em massa pelo BR. https://t.co/BCXHmUSaSy",Sat Jun 14 16:26:25 +0000 2025,24,199
27,Palmeiras,Tiago ⓟ,"pov: vendo os torcedores do palmeiras indo pra NYC acompanhar mundial enquanto vc é pobre e tá em casa 
 https://t.co/iqJl7jWlNw",Sat Jun 14 01:37:56 +0000 2025,64,303
28,Palmeiras,Blog da Raposa 🦊,"Torcida do Cruzeiro gritando o nome dos jogadores antes do jogo contra o Palmeiras.

Nunca me canso de ver esses vídeos.

🎥 | Registro da @FerHermsdorff https://t.co/337KRmUYvS",Sat Jun 07 22:04:20 +0000 2025,95,2419
29,Palmeiras,Umberto Conti,"Palmeiras em cenas…

Chuva, frio e Palmeiras nas ruas de Nova Iorque. https://t.co/LlRNe9KpyV",Sat Jun 14 17:25:51 +0000 2025,11,624
30,Palmeiras,Sem Clubismo,"O camarada alem de torcer pra FLAMENGO E PALMEIRAS, tem os escudos dos dois clubes tatuados no braço

Esse aí até o diabo tem medo, certeza que cagava de porta aberta na escola… 😂 https://t.co/tlKPOOOWin",Fri Jun 13 21:58:03 +0000 2025,3,58
31,Palmeiras,PodPorco,"A torcida canta e vibra em todos os países🐷💚
.
#PodPorco #Palmeiras https://t.co/dWbKGVKh96",Sat Jun 14 00:19:26 +0000 2025,22,435
32,Palmeiras,SE Palmeiras,𝑵𝒆𝒗𝒆𝒓 𝒈𝒊𝒗𝒆 𝒖𝒑! 💚 https://t.co/jzZQm3x0S8,Thu Jun 12 19:00:01 +0000 2025,178,5006
33,Palmeiras,Jonhlockeᶜʳᶠ😎🏆🏆🏆 LIBERTADORES,Torcida do flamengo é disparada a maior mesmo.  Não pode um palmeiras da vida ganhar um dinheiro próximo do que ganha o flamengo em publicidade tv https://t.co/F6S673FYHc,Sat Jun 14 15:06:10 +0000 2025,1,4
34,Palmeiras,Twit Palmeiras,"🥹😭
https://t.co/apnqSl6Sys",Fri Jun 13 17:56:34 +0000 2025,46,868
35,Palmeiras,Tiago ⓟ,"os jogadores no meio da torcida 

isso é sociedade esportiva palmeiras 

 https://t.co/3SeqjIa650",Sun Jun 08 12:48:02 +0000 2025,441,4360
36,Palmeiras,*Piccolo Palestrino*,"Até a Puma, sabe o q a torcida do Palmeiras é.
Retrataram um cada clube, com algo q retrate a equipe.
Monterrey, colocaram uma moça tipo a Frida Kahlo, a burka para os árabes e o celular, para a torcida de selfie do Allianz Theater.
Parabéns Puma, por mostrar nosso espírito. https://t.co/UYWPInpDOH",Thu Jun 12 20:23:02 +0000 2025,0,2
37,Palmeiras,Gelameiras,"Vem aí, Marcos Rocha, do Palmeiras!!!

https://t.co/KuCYXUyFHL",Sat Jun 14 19:08:44 +0000 2025,3,34
38,Palmeiras,SE Palmeiras,"Conheça o torcedor por trás das criações das camisas do @Palmeiras! 💚

Ítalo conta pra gente um pouco sobre como é realizar o sonho de desenvolver os mantos de seu clube do coração! 👕 https://t.co/aK88MZmhxo",Sat Jun 14 17:03:00 +0000 2025,34,821
39,Palmeiras,Gabriel Amorim,"Legal do clube ter colocado os atletas do portão pra fora, essa troca com a torcida tem que acontecer.

O Palmeiras vai pros Estados Unidos nessa energia aí!

☘️☘️☘️☘️ https://t.co/TLJhvaZMtr",Sun Jun 08 13:40:27 +0000 2025,157,4310
40,Palmeiras,Planeta do Palmeiras 🌎,"O vídeo de abertura da Copa do Mundo de Clubes.

ANSIOSO😬https://t.co/vOsamqMrvT",Sat Jun 14 20:28:10 +0000 2025,9,184
41,Palmeiras,Planeta do Palmeiras 🌎,"Quem não tá ansioso é maluco pô 

Via:@tiagosepz 
https://t.co/mLJHIZQrsP",Sun Jun 08 12:59:21 +0000 2025,81,861
42,Palmeiras,Web Rádio Verdão,As duas prováveis escalações de Palmeiras e do Porto!! Estreia na Copa do Mundo de Clubes https://t.co/QllmT2Mikt,Sat Jun 14 16:20:25 +0000 2025,3,90
43,Palmeiras,Dex França,E a nova camisa 3 do Palmeiras pra depois do mundial? https://t.co/ygaWu3jIZJ,Wed Jun 11 14:35:49 +0000 2025,123,5288
44,Palmeiras,Planeta do Palmeiras 🌎,Que partida do Gomez 👏🇵🇾 https://t.co/1bwcGefmsH,Wed Jun 11 02:36:21 +0000 2025,24,1390
45,Palmeiras,Palmeiras Press,"Se você é Palmeirense, você tem que compartilhar essa obra prima 🐽

 https://t.co/B0ynEU0bwp",Sat Jun 07 13:47:54 +0000 2025,111,918
46,Palmeiras,Karen,Quero entrar em modo mundial logo só falar de futebol e Palmeiras chegaaaaaaaaa logo  https://t.co/PNDuLq6TK6,Wed Jun 11 19:37:44 +0000 2025,0,1
47,Palmeiras,Palmeiras ao contrário🏹,https://t.co/EJLoaOuzjh,Sat Jun 14 00:34:29 +0000 2025,181,591
48,Palmeiras,ano,@CrimesReais eu enterrava ele com o manto do palmeiras,Sat Jun 14 15:13:43 +0000 2025,7,1322
49,Palmeiras,Twit Palmeiras,"A torcida, que conduz, vai embora.
 https://t.co/u5FBZp0uYp",Fri Jun 13 02:13:28 +0000 2025,57,732
50,Palmeiras,Gustavo Soler,"A Fifa oficializa os fardamentos que serão utilizados pelo Palmeiras na fase de grupos da Copa do Mundo de Clubes.
Estreia contra o Porto com o uniforme 1, Al Ahly com o uniforme 2 e fecha a 1ª fase com o uniforme exclusivo do torneio https://t.co/B0bIySf5TI",Sat Jun 14 16:22:56 +0000 2025,21,248
51,Palmeiras,É Almeida 🇾🇪,"A verdade é que todo mundo sabe que o Palmeiras foi pro mundial só pra passear, pq ganhar o título, nunca irá, não tem e nunca terá!!!",Sat Jun 14 14:30:36 +0000 2025,0,2
52,Palmeiras,ؘ,domingo que vem nesse mesmo horário tem palmeiras no mundial https://t.co/kXPlbLvVQx,Sun Jun 08 22:22:58 +0000 2025,365,1782
53,Palmeiras,RoubeiaSEP,"@Vessoni Quero apostar aqui que esse evento do video abaixo não vai ter nenhuma punição mesmo tendo acontecido no aquecimento sem a presença da arbitragem, mesma situação na qual o Palmeiras foi punido... Agora a punição do Corinthians ocorreu em um ambiente de que a partida teve que ser https://t.co/3av9JgVtEn",Fri Jun 13 23:11:26 +0000 2025,7,148
54,Palmeiras,PALMEIRAS HQ,"Corinthians: Posso entrá?

Conmebol: https://t.co/uJVeU0RDuv",Fri Jun 13 15:58:33 +0000 2025,10,173
55,Palmeiras,gabi,"1% de chance 99% de fé do palmeiras nesse mundial mas muito legal a torcida e o time juntos 

https://t.co/lgtYZUYA5C",Sun Jun 08 14:46:15 +0000 2025,407,1573
